476;LD1M / 00019358 / 4;14;0,1147 HA;
477;LD1M / 00019359 / 1;369;0,0564 HA;
478;LD1M / 00019361 / 8;9;0,0520 HA;
479;LD1M / 00019387 / 6;330/2337/7;0,0898 HA;
480;LD1M / 00019388 / 3;1;0,0777 HA;
481;LD1M / 00019389 / 0;5;0,0753 HA;
null;null;null;null;
482;LD1M / 00056962 / 2;342344;0,4800 HA;
483;LD1M / 00057560 / 1;281/3;0,0753 HA;
484;LD1M / 00057561 / 8;281/4;0,0754 HA;
485;LD1M / 00057562 / 5;281/2;0,0753 HA;
486;LD1M / 00058079 / 9;7794/194/393/5;2,3851 HA;
487;LD1M / 00058166 / 6;7;0,1400 HA;
488;LD1M / 00058727 / 7;162/2;0,1355 HA;
489;LD1M / 00058771 / 0;92/697/4129/1129/3129/4;0,6936 HA;
490;LD1M / 00058845 / 0;305/7;0,1900 HA;
